Plot_ID,Block_Num,Treatment,Interspace_Num,Transect_Num,Year,Date,Initials_1,Initials_2,Azimuth,Bare_Class,Litter_Class,An_Grass_Class,Per_Grass_Class,An_Forb_Class,Per_Forb_Class,Shrub_Class,Subshrub_Class,Random_1,Random_2,Random_3,Random_4,Notes,Gravel_Class,An_Forb_Seedling_count,Grazed_Ungrazed
1C_I1,1,Control,1,1,2020,11/9/2020,MMR,EM,315,5,2,0,0,0,0,1,0,2,5,11,16,,0,N/A,N/A
1C_I1,1,Control,1,1,2021,10/22/2021,MR,MM,N/A,5,2,1,1,1,T,T,0,3,4,8,14,,0,N/A,N/A
1C_I1,1,Control,1,1,2022,10/14/2022,RS,N/A,N/A,5,2,0,0,2,0,1,0,1,3,9,13,,0,N/A,Grazed
1C_I2,1,Control,2,1,2020,11/9/2020,MMR,EM,251,6,1,0,0,0,0,0,0,2,3,5,8,,0,N/A,N/A
1C_I2,1,Control,2,1,2021,10/22/2021,MR,ELM,N/A,5,1,2,T,2,T,T,0,1,5,6,15,,0,N/A,N/A
1C_I2,1,Control,2,1,2022,10/14/2022,RS,N/A,N/A,4,2,1,1,2,0,0,0,2,10,11,13,,0,N/A,Grazed
1C_I3,1,Control,3,2,2020,11/9/2020,DH,N/A,318,4,2,0,2,0,1,0,0,1,3,12,15,Used nearest interspace,0,N/A,N/A
1C_I3,1,Control,3,2,2021,10/22/2021,ELM,MM,N/A,4,1,2,T,2,T,0,0,2,3,9,11,,0,N/A,N/A
1C_I3,1,Control,3,2,2022,10/14/2022,ELM,N/A,N/A,4,2,1,1,3,0,0,0,3,4,7,9,,0,N/A,Grazed
1C_I4,1,Control,4,2,2020,11/9/2020,DH,N/A,326,5,1,0,1,T,1,0,1,1,3,12,16,,0,N/A,N/A
1C_I4,1,Control,4,2,2021,10/22/2021,RS,MM,N/A,4,1,2,T,2,1,0,0,9,10,1,16,,0,N/A,N/A
1C_I4,1,Control,4,2,2022,10/14/2022,ELM,N/A,N/A,5,2,1,1,1,1,0,0,1,3,7,12,,0,N/A,Grazed
1C_I5,1,Control,5,3,2020,11/9/2020,EM,RS,336,6,1,0,0,1,T,0,0,7,8,10,14,,0,N/A,N/A
1C_I5,1,Control,5,3,2021,10/22/2021,ELM,SL,N/A,4,2,2,1,1,0,1,0,2,12,14,15,,0,N/A,N/A
1C_I5,1,Control,5,3,2022,10/14/2022,RS,N/A,N/A,4,2,1,1,2,0,0,0,3,4,6,15,,0,N/A,Grazed
1C_I6,1,Control,6,3,2020,11/9/2020,AI,RS,111,5,1,0,1,2,1,0,0,1,5,11,14,,0,N/A,N/A
1C_I6,1,Control,6,3,2021,10/22/2021,SL,ELM,N/A,5,2,2,T,1,1,0,0,2,3,5,12,,1,N/A,N/A
1C_I6,1,Control,6,3,2022,10/14/2022,RS,N/A,N/A,4,2,1,0,2,0,0,0,2,3,6,15,"Annual forb seedlings: 1 PORTU, 1 BOERHAVIA",0,2,Grazed
1H_I1,1,Herbicide,1,1,2020,11/11/2020,MR,DH,211,5,1,0,1,1,T,0,0,2,3,4,10,Used nearest interspace,0,N/A,N/A
1H_I1,1,Herbicide,1,1,2021,10/22/2021,RS,MR,N/A,4,1,2,1,2,2,0,0,2,10,14,15,,0,N/A,N/A
1H_I1,1,Herbicide,1,1,2022,10/14/2022,ELM,N/A,N/A,3,2,3,2,1,2,0,0,7,8,12,16,,0,N/A,Grazed
1H_I2,1,Herbicide,2,1,2020,11/11/2020,MR,EM,268,5,2,T,0,2,1,0,0,3,6,8,15,,0,N/A,N/A
1H_I2,1,Herbicide,2,1,2021,10/22/2021,MR,N/A,N/A,3,2,3,1,3,1,T,0,9,11,12,14,,0,N/A,N/A
1H_I2,1,Herbicide,2,1,2022,10/14/2022,ELM,N/A,N/A,4,2,2,1,1,0,0,0,6,7,13,15,,0,N/A,Grazed
1H_I3,1,Herbicide,3,2,2020,11/11/2020,AI,RS,114,6,1,0,1,0,T,0,0,5,10,14,15,,0,N/A,N/A
1H_I3,1,Herbicide,3,2,2021,10/26/2021,TT,N/A,N/A,4,1,1,1,2,T,0,0,1,3,8,10,,0,N/A,N/A
1H_I3,1,Herbicide,3,2,2022,10/14/2022,RS,N/A,N/A,4,2,2,1,0,0,0,0,1,6,10,12,,0,N/A,Grazed
1H_I4,1,Herbicide,4,2,2020,11/11/2020,AI,RS,34,5,1,0,2,0,T,0,1,4,6,12,14,,0,N/A,N/A
1H_I4,1,Herbicide,4,2,2021,10/26/2021,TT,N/A,N/A,5,1,0,1,1,1,T,0,2,3,7,9,,0,N/A,N/A
1H_I4,1,Herbicide,4,2,2022,10/14/2022,RS,N/A,N/A,6,1,T,0,0,0,0,0,2,3,4,9,Soil highly disturbed recently,0,N/A,Grazed
1H_I5,1,Herbicide,5,3,2020,11/11/2020,AI,MMR,61,6,1,0,0,T,0,0,0,1,6,7,14,Used nearest interspace,0,N/A,N/A
1H_I5,1,Herbicide,5,3,2021,10/26/2021,AI,TT,N/A,6,1,0,1,1,1,0,0,1,2,3,16,,0,N/A,N/A
1H_I5,1,Herbicide,5,3,2022,10/14/2022,ELM,N/A,N/A,5,1,T,0,1,1,0,0,2,6,12,13,,T,N/A,Grazed
1H_I6,1,Herbicide,6,3,2020,11/11/2020,AI,MMR,357,5,2,0,1,1,T,0,T,2,3,4,14,,0,N/A,N/A
1H_I6,1,Herbicide,6,3,2021,10/26/2021,RS,TT,N/A,5,2,2,1,2,0,0,0,8,9,11,16,,0,N/A,N/A
1H_I6,1,Herbicide,6,3,2022,10/14/2022,ELM,N/A,N/A,4,2,3,0,1,0,0,0,6,8,10,14,,0,N/A,Grazed
2C_I1,2,Control,1,1,2020,1/14/2021,MMR,N/A,120,5,1,0,1,1,0,0,0,6,8,9,11,,0,N/A,N/A
2C_I1,2,Control,1,1,2021,10/21/2021,TT,N/A,N/A,5,T,1,1,1,1,0,0,2,4,7,12,,0,N/A,N/A
2C_I1,2,Control,1,1,2022,10/15/2022,RS,N/A,N/A,5,1,1,0,1,1,0,0,8,10,12,13,,0,N/A,Grazed
2C_I2,2,Control,2,1,2020,1/14/2021,MMR,N/A,226,5,1,0,1,1,0,0,0,3,4,13,15,,0,N/A,N/A
2C_I2,2,Control,2,1,2021,10/21/2021,TT,N/A,N/A,6,T,1,T,T,0,0,0,1,4,5,12,,0,N/A,N/A
2C_I2,2,Control,2,1,2022,10/15/2022,RS,N/A,N/A,6,1,0,0,T,0,0,0,9,13,14,15,,0,2,Grazed
2C_I3,2,Control,3,2,2020,1/14/2021,RS,DH,62,5,1,0,1,0,0,1,0,2,4,10,15,,0,N/A,N/A
2C_I3,2,Control,3,2,2021,10/21/2021,TT,AI,N/A,6,T,1,1,1,0,0,0,5,6,9,12,,0,N/A,N/A
2C_I3,2,Control,3,2,2022,10/15/2022,RS,N/A,N/A,6,1,0,1,0,0,0,0,1,3,5,10,,0,N/A,Grazed
2C_I4,2,Control,4,2,2020,1/14/2021,RS,DH,217,5,1,0,2,T,T,0,0,2,9,11,13,,0,N/A,N/A
2C_I4,2,Control,4,2,2021,10/21/2021,TT,N/A,N/A,5,T,0,1,1,1,0,0,2,8,12,13,,0,N/A,N/A
2C_I4,2,Control,4,2,2022,10/15/2022,RS,N/A,N/A,5,2,1,1,1,T,0,0,2,9,10,15,Perennial forb seedling: 1 BAMU,T,1,Grazed
2C_I5,2,Control,5,3,2020,1/14/2021,RS,N/A,12,6,T,0,1,0,0,0,0,3,4,7,13,,0,N/A,N/A
2C_I5,2,Control,5,3,2021,10/21/2021,TT,N/A,N/A,3,1,1,1,2,1,0,0,1,4,5,10,,0,N/A,N/A
2C_I5,2,Control,5,3,2022,10/15/2022,RS,N/A,N/A,4,2,1,1,1,1,0,0,10,11,15,16,,0,N/A,Grazed
2C_I6,2,Control,6,3,2020,1/14/2021,DH,N/A,120,5,1,0,1,1,1,0,0,1,5,9,12,,0,N/A,N/A
2C_I6,2,Control,6,3,2021,10/21/2021,TT,N/A,N/A,4,1,1,T,2,2,0,0,1,4,15,16,,0,N/A,N/A
2C_I6,2,Control,6,3,2022,10/15/2022,RS,N/A,N/A,4,2,2,1,T,2,0,0,1,2,3,7,,1,N/A,Grazed
2H_I1,2,Herbicide,1,1,2020,1/14/2021,RS,DH,61,5,1,0,1,2,0,0,0,1,11,12,14,,0,N/A,N/A
2H_I1,2,Herbicide,1,1,2021,10/20/2021,TT,ELM,N/A,5,1,1,1,1,0,0,0,4,8,12,14,,0,N/A,N/A
2H_I1,2,Herbicide,1,1,2022,10/15/2022,RS,N/A,N/A,5,1,0,1,1,1,0,0,1,8,9,15,,0,N/A,Grazed
2H_I2,2,Herbicide,2,1,2020,1/14/2021,RS,N/A,148,5,1,0,1,1,T,0,0,1,5,6,13,,0,N/A,N/A
2H_I2,2,Herbicide,2,1,2021,10/20/2021,RS,ELM,N/A,5,1,1,1,1,T,0,0,1,4,8,13,,0,N/A,N/A
2H_I2,2,Herbicide,2,1,2022,10/15/2022,RS,N/A,N/A,5,2,0,2,2,T,0,0,11,12,15,16,,0,N/A,Grazed
2H_I3,2,Herbicide,3,2,2020,1/14/2021,MMR,N/A,279,6,1,0,T,0,0,0,0,7,8,10,16,Used nearest interspace,0,N/A,N/A
2H_I3,2,Herbicide,3,2,2021,10/21/2021,AI,N/A,N/A,6,1,0,T,0,0,0,0,1,3,4,14,,1,N/A,N/A
2H_I3,2,Herbicide,3,2,2022,10/15/2022,RS,N/A,N/A,5,1,1,0,2,1,0,0,1,3,9,14,,1,N/A,Grazed
2H_I4,2,Herbicide,4,2,2020,1/14/2021,MMR,N/A,252,6,T,0,T,0,0,0,0,6,13,15,16,,0,N/A,N/A
2H_I4,2,Herbicide,4,2,2021,10/21/2021,AI,N/A,N/A,6,1,T,0,0,T,0,0,6,7,9,10,,1,N/A,N/A
2H_I4,2,Herbicide,4,2,2022,10/15/2022,RS,N/A,N/A,6,1,0,0,0,1,0,0,4,8,9,15,In a gulley erosional area,1,N/A,Grazed
2H_I5,2,Herbicide,5,3,2020,1/14/2021,RS,N/A,185,5,1,0,1,0,0,0,0,11,12,13,16,,0,N/A,N/A
2H_I5,2,Herbicide,5,3,2021,10/21/2021,TT,AI,N/A,6,T,0,T,1,T,0,0,4,6,7,12,,0,N/A,N/A
2H_I5,2,Herbicide,5,3,2022,10/15/2022,RS,N/A,N/A,5,2,1,T,1,1,0,0,6,9,14,15,,T,N/A,Grazed
2H_I6,2,Herbicide,6,3,2020,1/14/2021,RS,N/A,234,5,1,0,1,0,0,0,1,2,8,10,13,,0,N/A,N/A
2H_I6,2,Herbicide,6,3,2021,10/21/2021,TT,AI,N/A,5,1,0,T,1,0,0,0,6,11,15,16,,0,N/A,N/A
2H_I6,2,Herbicide,6,3,2022,10/15/2022,RS,N/A,N/A,5,2,0,1,0,1,0,0,6,8,9,12,,0,N/A,Grazed
3C_I1,3,Control,1,1,2020,11/7/2020,RS,N/A,20,2,3,0,2,2,2,0,0,6,8,9,11,,0,N/A,N/A
3C_I1,3,Control,1,1,2021,10/19/2021,MR,N/A,N/A,3,2,3,2,1,1,0,0,2,3,12,13,,0,N/A,N/A
3C_I1,3,Control,1,1,2022,10/10/2022,ELM,N/A,N/A,4,2,1,2,0,1,0,0,3,10,15,16,,0,N/A,Grazed
3C_I2,3,Control,2,1,2020,11/7/2020,RS,N/A,120,2,3,T,3,2,T,0,0,5,7,8,14,,0,N/A,N/A
3C_I2,3,Control,2,1,2021,10/19/2021,MR,N/A,N/A,3,3,2,2,2,1,0,0,4,8,10,16,,0,N/A,N/A
3C_I2,3,Control,2,1,2022,10/10/2022,ELM,N/A,N/A,4,2,T,2,0,T,0,0,1,3,12,14,,0,N/A,Grazed
3C_I3,3,Control,3,2,2020,11/7/2020,RS,N/A,214,2,3,0,3,1,1,0,0,2,3,15,16,,0,34,N/A
3C_I3,3,Control,3,2,2021,10/19/2021,RS,TT,N/A,3,2,2,3,1,1,0,0,1,11,14,16,,0,N/A,N/A
3C_I3,3,Control,3,2,2022,10/11/2022,RS,N/A,N/A,3,3,0,4,1,0,0,0,7,8,9,10,,0,10,Grazed
3C_I4,3,Control,4,2,2020,11/7/2020,RS,N/A,342,2,3,0,3,1,0,0,0,5,7,8,12,,0,N/A,N/A
3C_I4,3,Control,4,2,2021,10/19/2021,RS,TT,N/A,4,2,2,3,1,1,0,0,2,3,4,6,,0,N/A,N/A
3C_I4,3,Control,4,2,2022,10/11/2022,RS,N/A,N/A,3,3,0,4,0,0,T,0,2,7,11,15,,0,N/A,Grazed
3C_I5,3,Control,5,3,2020,11/7/2020,RS,N/A,133,5,2,0,2,0,2,0,0,3,6,7,14,,0,N/A,N/A
3C_I5,3,Control,5,3,2021,10/19/2021,RS,MR,N/A,4,1,2,2,2,0,0,0,11,12,15,16,,0,N/A,N/A
3C_I5,3,Control,5,3,2022,10/11/2022,RS,N/A,N/A,4,2,2,2,1,0,0,0,4,6,7,14,,0,N/A,Grazed
3C_I6,3,Control,6,3,2020,11/7/2020,RS,N/A,245,5,2,1,2,1,0,0,0,1,4,7,14,,0,N/A,N/A
3C_I6,3,Control,6,3,2021,10/19/2021,MR,N/A,N/A,4,1,3,3,1,1,0,0,4,6,10,11,,0,N/A,N/A
3C_I6,3,Control,6,3,2022,10/11/2022,RS,N/A,N/A,4,2,2,1,T,0,0,0,3,5,6,13,,0,N/A,Grazed
3H_I1,3,Herbicide,1,1,2020,11/6/2020,SS,RS/KR,331,4,2,0,3,2,T,0,0,3,8,10,15,,0,N/A,N/A
3H_I1,3,Herbicide,1,1,2021,10/19/2021,AI,N/A,N/A,4,2,2,3,1,0,0,0,3,9,10,13,,0,N/A,N/A
3H_I1,3,Herbicide,1,1,2022,10/11/2022,RS,N/A,N/A,4,3,T,3,0,0,0,0,1,2,11,16,,0,N/A,Grazed
3H_I2,3,Herbicide,2,1,2020,11/6/2020,SS,RS/KR,159,4,2,0,3,2,0,0,0,1,14,15,16,,0,N/A,N/A
3H_I2,3,Herbicide,2,1,2021,10/19/2021,RS,N/A,N/A,4,2,2,2,2,0,0,0,2,5,6,14,,0,N/A,N/A
3H_I2,3,Herbicide,2,1,2022,10/11/2022,RS,N/A,N/A,4,2,3,2,0,0,0,0,10,12,13,15,,0,N/A,Grazed
3H_I3,3,Herbicide,3,2,2020,11/6/2020,RS,N/A,172,2,2,0,4,1,T,0,0,2,7,10,16,,0,N/A,N/A
3H_I3,3,Herbicide,3,2,2021,10/20/2021,ELM,MR,N/A,3,1,2,4,1,0,0,0,3,8,9,13,,0,N/A,N/A
3H_I3,3,Herbicide,3,2,2022,10/11/2022,RS,N/A,N/A,2,3,0,4,0,0,0,0,8,10,13,15,,0,N/A,Grazed
3H_I4,3,Herbicide,4,2,2020,11/6/2020,SS,N/A,77,3,2,0,3,1,1,0,0,5,6,9,13,,0,N/A,N/A
3H_I4,3,Herbicide,4,2,2021,10/20/2021,ELM,MR,N/A,3,2,3,2,2,0,0,0,2,5,11,14,,0,N/A,N/A
3H_I4,3,Herbicide,4,2,2022,10/11/2022,RS,N/A,N/A,4,2,3,1,1,1,0,0,2,3,5,8,,0,N/A,Grazed
3H_I5,3,Herbicide,5,3,2020,11/6/2020,MMR,SS,24,5,3,1,2,1,T,0,0,7,10,11,16,,0,25,N/A
3H_I5,3,Herbicide,5,3,2021,10/20/2021,TT,ELM,N/A,3,3,2,2,1,1,0,0,5,9,13,14,,0,N/A,N/A
3H_I5,3,Herbicide,5,3,2022,10/11/2022,RS,N/A,N/A,3,2,2,4,0,0,0,0,2,4,11,13,,0,N/A,Grazed
3H_I6,3,Herbicide,6,3,2020,11/6/2020,MMR,SS,200,5,3,0,1,1,0,0,0,2,3,9,12,,0,25,N/A
3H_I6,3,Herbicide,6,3,2021,10/20/2021,TT,ELM,N/A,3,3,2,1,2,1,0,0,1,7,10,15,,0,N/A,N/A
3H_I6,3,Herbicide,6,3,2022,10/11/2022,RS,N/A,N/A,4,3,2,2,0,1,0,0,1,2,7,9,,0,N/A,Grazed
4C_I1,4,Control,1,1,2020,11/2/2020,MMR,EM,107,5,1,0,1,T,T,0,0,4,5,9,14,,0,N/A,N/A
4C_I1,4,Control,1,1,2021,10/16/2021,MR,GT,N/A,4,1,2,1,1,2,0,0,1,2,7,11,,0,N/A,N/A
4C_I1,4,Control,1,1,2022,10/10/2022,ELM,N/A,N/A,4,1,2,1,1,1,0,0,3,4,12,16,,0,N/A,Grazed
4C_I2,4,Control,2,1,2020,11/2/2020,MMR,EM,278,5,2,0,0,1,1,0,0,2,5,9,13,,0,N/A,N/A
4C_I2,4,Control,2,1,2021,10/16/2021,MR,GT,N/A,4,2,3,T,2,2,0,0,11,12,13,16,,0,N/A,N/A
4C_I2,4,Control,2,1,2022,10/10/2022,ELM,N/A,N/A,4,2,2,1,0,1,0,0,2,4,11,14,,0,2,Grazed
4C_I3,4,Control,3,2,2020,11/2/2020,AI,EM,226,2,2,0,3,2,2,0,0,3,6,12,14,,0,N/A,N/A
4C_I3,4,Control,3,2,2021,10/15/2021,MR,N/A,N/A,4,2,2,2,2,2,0,0,3,5,6,9,,0,N/A,N/A
4C_I3,4,Control,3,2,2022,10/10/2022,RS,N/A,N/A,4,2,1,T,1,1,0,0,1,2,6,14,,0,N/A,Grazed
4C_I4,4,Control,4,2,2020,11/2/2020,AI,EM,98,5,2,0,0,2,1,0,0,2,4,5,6,,0,N/A,N/A
4C_I4,4,Control,4,2,2021,10/15/2021,MR,N/A,N/A,4,2,3,0,1,2,1,0,2,3,5,14,,0,N/A,N/A
4C_I4,4,Control,4,2,2022,10/10/2022,RS,N/A,N/A,4,2,1,0,1,2,0,0,1,4,8,11,Perennial forb seedlings: 7 BAMU,0,7,Grazed
4C_I5,4,Control,5,3,2020,11/4/2020,MMR,EM,308,5,1,0,0,1,1,0,0,1,5,6,13,,0,N/A,N/A
4C_I5,4,Control,5,3,2021,10/15/2021,ELM,MR,N/A,3,1,3,0,1,1,0,0,6,8,11,12,,0,N/A,N/A
4C_I5,4,Control,5,3,2022,10/10/2022,ELM,N/A,N/A,5,2,1,0,1,1,0,0,1,4,5,12,Perennial forb seedlings: 6 BAMU,0,6,Grazed
4C_I6,4,Control,6,3,2020,11/4/2020,MMR,EM,11,4,2,0,1,1,T,0,0,1,5,7,12,,0,N/A,N/A
4C_I6,4,Control,6,3,2021,10/15/2021,ELM,MR,N/A,3,2,3,2,2,T,0,0,7,10,13,15,,0,N/A,N/A
4C_I6,4,Control,6,3,2022,10/10/2022,ELM,N/A,N/A,4,2,0,2,2,1,0,0,3,11,12,15,,0,N/A,Grazed
4H_I1,4,Herbicide,1,1,2020,11/4/2020,RS,AI,133,2,3,0,3,2,1,0,0,2,4,12,15,,0,N/A,N/A
4H_I1,4,Herbicide,1,1,2021,10/14/2021,MR,DB,N/A,3,2,3,2,2,T,0,0,3,6,8,16,,0,N/A,N/A
4H_I1,4,Herbicide,1,1,2022,10/10/2022,RS,N/A,N/A,3,3,3,1,1,1,0,0,3,8,10,11,Perennial forb seedlings: 3 BAMU,0,3,Grazed
4H_I2,4,Herbicide,2,1,2020,11/4/2020,RS,EM/AI,179,4,2,1,2,1,T,0,0,1,2,6,14,,0,30,N/A
4H_I2,4,Herbicide,2,1,2021,10/14/2021,MR,DB,N/A,4,2,1,2,1,T,0,0,1,2,4,5,,0,N/A,N/A
4H_I2,4,Herbicide,2,1,2022,10/10/2022,RS,N/A,N/A,4,2,2,2,0,1,0,0,3,4,11,16,,0,N/A,Grazed
4H_I3,4,Herbicide,3,2,2020,11/4/2020,EM,MMR,273,4,3,T,0,1,1,0,0,1,3,11,16,,0,N/A,N/A
4H_I3,4,Herbicide,3,2,2021,10/15/2021,MR,ELM,N/A,2,2,3,0,3,1,0,0,3,9,11,14,,0,N/A,N/A
4H_I3,4,Herbicide,3,2,2022,10/10/2022,ELM,N/A,N/A,3,2,4,0,T,0,0,0,2,4,8,16,,0,N/A,Grazed
4H_I4,4,Herbicide,4,2,2020,11/4/2020,EM,MMR,208,4,3,0,2,2,2,0,0,1,2,7,13,,0,N/A,N/A
4H_I4,4,Herbicide,4,2,2021,10/15/2021,MR,ELM,N/A,3,2,3,2,3,1,0,0,7,11,14,16,,0,N/A,N/A
4H_I4,4,Herbicide,4,2,2022,10/10/2022,ELM,N/A,N/A,4,2,3,1,T,T,0,0,2,6,15,16,Perennial forb seedlings: 1 BAMU,0,1,Grazed
4H_I5,4,Herbicide,5,3,2020,11/4/2020,RS,AI,214,4,3,0,1,2,1,0,1,2,6,11,16,,0,N/A,N/A
4H_I5,4,Herbicide,5,3,2021,10/15/2021,MR,ELM,N/A,3,2,3,0,2,T,0,0,5,9,12,15,,0,N/A,N/A
4H_I5,4,Herbicide,5,3,2022,10/10/2022,RS,N/A,N/A,4,2,3,1,1,1,0,0,3,5,7,12,Perennial forb seedlings: 8 BAMU,0,8,Grazed
4H_I6,4,Herbicide,6,3,2020,11/4/2020,RS,EM,5,4,2,T,1,2,1,0,0,1,3,12,15,,0,N/A,N/A
4H_I6,4,Herbicide,6,3,2021,10/15/2021,MR,ELM,N/A,3,1,3,1,2,T,0,0,4,5,6,14,,0,N/A,N/A
4H_I6,4,Herbicide,6,3,2022,10/10/2022,RS,N/A,N/A,4,2,3,2,0,0,0,0,1,2,6,7,,0,N/A,Grazed
